gr6085,gdp60,gpop6085,elf,sec60,ptrade,corruption
0.0048104,3.091,0.015707,31,0.32,5.6,7.66
0.0214091,5.182,0.0170901,32,0.51,4.07,10
0.0330512,3.908,0.0027786,13,0.5,36.64,8
0.0318823,4.379,0.0031129,55,0.69,52.46,9.75
0.0351809,1.313,0.0249825,7,0.11,3.03,5.75
0.0279166,6.069,0.0139447,75,0.52,4.97,10
0.0069228,2.932,0.0185953,14,0.24,7.25,9.25
0.0263791,1.344,0.0236674,6,0.12,7.54,4.5
0.0273746,5.49,0.0044026,5,0.65,30.89,9.25
0.024253,0.956,0.0265103,4,0.07,22.37,6.5
0.0294552,1.143,0.0272298,53,0.12,11.42,5.5
0.034938,0.496,0.0249822,4,0.16,11.75,3.25
0.0327318,4.073,0.0040987,16,0.74,21.64,9.5
0.0318517,4.473,0.0075483,26,0.46,15.26,10
0.0287627,5.217,0.0038378,3,0.53,18.47,9.5
-0.017013,0.534,0.0272814,71,0.03,18.87,3.66
0.0443226,1.474,0.0070624,10,0.41,27.01,6.25
0.0016831,0.605,0.0165114,1,0.04,20.44,2
0.0662138,1.737,0.0228371,2,0.24,35.88,8
0.0136621,0.533,0.0225625,89,0.2,3.29,5.25
0.0286196,2.545,0.0090611,4,0.35,33.85,9.75
0.0317071,2.838,0.0277732,20,0.48,54.17,9.25
0.0332577,3.233,0.0051728,4,0.34,13.97,7.5
0.0085471,0.743,0.042914,86,0.02,16.58,6
0.0063442,1.472,0.014692,5,0.43,22.19,5
0.0575867,2.239,0.0099784,1,0.74,5.47,8.75
0.0252486,1.124,0.0288888,5,0.25,68.18,8.33
0.0096343,0.47,0.0379591,83,0.02,12.48,4.5
0.0595268,0.69,0.0198376,0,0.27,14.36,5.75
0.0035768,0.449,0.0298825,83,0.02,29.81,2.66
0.0452057,1.103,0.0258802,72,0.19,16.82,6
0.0245528,2.157,0.0302254,30,0.11,4.52,3.25
0.0324864,0.542,0.0251411,53,0.05,12.71,5.66
0.0264785,4.69,0.0092787,10,0.58,35.84,10
0.0144747,5.571,0.0126461,37,0.73,8.19,10
0.0090063,1.588,0.0324656,18,0.07,23.46,8.75
0.0370353,5.001,0.0059276,4,0.53,23.54,10
0.0290305,0.558,0.029342,64,0.11,8.04,4
0.0336682,1.255,0.0250053,28,0.29,23.56,5
0.0082271,1.721,0.0263041,59,0.15,7.03,7.25
0.0177158,0.874,0.0276864,74,0.26,8.84,4.5
0.0383666,1.429,0.0053742,1,0.2,18.78,6.75
0.0744755,1.528,0.0176351,42,0.32,48.9,10
0.0156512,2.627,0.0228968,88,0.15,8.9,8
0.0390492,2.425,0.0094822,44,0.23,12.38,7
0.0182991,0.974,0.018837,47,0.27,13.94,7
0.0261654,5.149,0.0044012,8,0.55,18.22,9.25
0.0177084,6.834,0.0074393,50,0.26,32.57,10
0.0567805,0.866,0.0231649,42,0.275,17.92,6.75
0.0406328,0.688,0.0260382,66,0.12,9.45,1.5
0.013566,4.904,0.013541,56,0.22,30.33,6.5
0.0280908,1.255,0.023942,25,0.14,11.26,6
0.0222349,4.97,0.0029226,32,0.67,13.47,9.25
0.0211805,7.38,0.0111884,50,0.86,2.56,10
0.00227,3.271,0.0068624,20,0.37,17.07,8
-0.0160914,0.314,0.0253857,90,0.03,8.97,1
0.0173093,0.615,0.0338189,54,0.06,11.27,8.75
